gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00169,0.294599207,0.05027956,0.419348803,0.333163909,0.122839456,0.054478932,0.086392009,0.000426827,0.031181603,0.104934567,0.775305173,0.000932005,2.28327E-06,0.000737431,0.31688887
K00170,0.018494028,0.003202196,0.165944655,0.061783311,0.757106021,0.001696408,0.603593044,0.426601,0.000382505,0.102316229,0.409211963,4.4879E-05,1.98845E-09,0.002780598,2.1882E-07
K00171,0.263024526,0.227447825,0.341827233,0.380853135,0.929608942,0.059178648,9.11852E-05,0.058059693,7.32547E-05,0.211176533,0.782252394,0.000174551,0.061040329,0.574998813,0.355182686
K00172,0.002285582,0.963975578,0.000865521,7.15217E-07,0.039644879,0.244813655,3.28241E-28,1.3896E-31,1.52522E-08,0.841357636,0.677467245,0.014636356,0.060559886,0.056065041,0.058852321
K03737,4.48088E-05,1.83986E-07,0.000418495,2.78526E-05,6.9079E-05,3.22583E-11,3.5373E-05,0.000474088,9.80782E-13,0.000907208,0.00042115,4.69405E-15,3.55892E-07,0.000184207,0.489090781
K01006,0.866470751,0.618320896,0.79598556,0.852219055,0.49410195,0.456906733,0.156282287,0.560516676,0.031281438,0.86362803,0.781051787,0.00160364,0.422449142,0.687609202,0.482539175
K01007,0.57615346,0.440574467,0.689327533,0.172167124,0.228843609,0.277469518,0.344805371,0.597098198,0.021014435,0.211237043,0.300421185,0.066829102,0.035896091,0.321778073,0.00280549
K01595,3.97232E-05,3.1663E-06,0.000875076,0.008365579,0.00121971,0.001980441,0.015134879,6.98917E-08,0.007322956,0.047072237,0.296164541,0.27131894,0.310115172,0.028984342,0.703878884
K01958,0.591690084,0.502321099,0.887965419,0.06480527,0.467977123,0.307522668,0.016442642,0.165631903,0.018809418,0.226091742,0.072309672,0.034905356,0.032044792,0.982042744,0.170607043
K01960,0.065591164,0.973141622,0.179413851,0.066561689,0.398299018,0.836820133,2.524E-06,4.32964E-06,0.014332821,0.453302142,0.29292099,0.015469265,0.622736827,0.747974311,0.023327657
K00024,0.027585186,1.90148E-05,0.005607882,0.003365983,2.26845E-06,0.485670662,0.021925575,0.249135442,0.000718717,0.255974984,0.291190026,0.000218398,0.034584498,0.039044752,0.006026172
K01676,0.053016563,0.101273572,0.073689496,0.005381117,0.238787148,4.50541E-05,0.282512299,0.962570571,0.000188823,0.003013645,0.243368058,0.261436905,0.13064015,0.016491045,0.003523103
